EPOCH,PSNR,SSIM,MSE,FID
5000,21.6253,0.6656,0.0095,150.1070
10000,22.0013,0.6780,0.0089,99.9769
15000,22.1234,0.6886,0.0088,80.4144
20000,22.2795,0.6953,0.0084,78.4415
25000,22.3654,0.6998,0.0082,70.2478
30000,22.4199,0.7076,0.0081,64.4325
35000,22.5385,0.7065,0.0079,62.1947
40000,22.6192,0.7173,0.0078,59.9949
45000,22.7730,0.7241,0.0074,60.5261
50000,22.8747,0.7296,0.0073,55.5781
55000,22.9054,0.7319,0.0072,53.5016
60000,22.9708,0.7388,0.0071,53.4512
65000,23.1224,0.7438,0.0068,50.6570
70000,23.1679,0.7487,0.0067,50.1975
75000,23.2179,0.7500,0.0067,51.3508
80000,23.3407,0.7562,0.0066,47.9885
85000,23.4188,0.7650,0.0064,45.5414
90000,23.4131,0.7617,0.0064,46.0542
95000,23.4898,0.7680,0.0063,47.9785
100000,23.6811,0.7765,0.0061,45.6963
105000,23.6586,0.7731,0.0061,44.8766
110000,23.6704,0.7784,0.0060,45.6521
115000,23.8606,0.7848,0.0058,43.0788
120000,23.9241,0.7888,0.0056,43.5600
125000,23.8264,0.7864,0.0058,43.9318
130000,24.0349,0.7951,0.0056,42.4470
135000,24.1855,0.7992,0.0054,42.5580
140000,24.0625,0.7954,0.0056,42.9718
145000,24.0873,0.7974,0.0055,43.2615
150000,24.1654,0.8002,0.0054,42.9864
155000,24.1825,0.8046,0.0054,41.8753
160000,24.3227,0.8068,0.0053,41.3130
165000,24.4528,0.8130,0.0050,41.5426
170000,24.4079,0.8115,0.0051,40.3596
175000,24.4549,0.8129,0.0052,40.3483
180000,24.2941,0.8065,0.0053,41.2357
185000,24.3491,0.8094,0.0052,41.2990
190000,24.4196,0.8135,0.0052,40.0359
195000,24.3460,0.8097,0.0053,39.3331
200000,24.5940,0.8199,0.0050,39.7354
205000,24.6862,0.8237,0.0049,39.3127
210000,24.6147,0.8186,0.0049,40.9786
215000,24.7296,0.8235,0.0047,39.3282
220000,24.5018,0.8162,0.0051,39.9309
